,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
31,Brigham Young,32,24,8,.750,16.93,6.45,,13,3,,14,1,,6,5,,2548,2188,,69.7,112.8,.239,.414,.603,49.6,58.4,8.2,5.4,.588,14.3,20.5,.168
32,Brown,27,15,12,.556,-4.45,-1.72,,8,6,,10,4,,5,8,,1809,1854,,70.2,95.4,.325,.381,.497,52.1,48.6,9.4,11.9,.455,18.2,32.3,.237
33,Bryant,32,15,17,.469,-6.70,-6.67,,7,11,,9,5,,6,12,,2271,2223,,70.7,100.0,.304,.433,.513,52.0,55.0,9.1,11.3,.485,17.2,31.6,.206
34,Bucknell,34,14,20,.412,-7.73,-4.32,,8,10,,9,4,,4,14,,2299,2415,,69.9,96.7,.284,.418,.521,47.9,50.0,10.2,9.4,.493,17.0,24.0,.195
35,Buffalo,32,20,12,.625,1.80,0.06,,11,7,,10,7,,7,4,,2516,2425,,74.7,104.5,.280,.378,.519,52.5,51.0,10.3,11.1,.494,15.3,35.0,.187
36,Butler,31,22,9,.710,15.56,9.14,,10,8,,14,3,,5,6,,2125,1926,,64.6,105.7,.294,.368,.553,53.3,50.9,8.2,7.8,.523,15.4,29.4,.214
37,Cal Poly,30,7,23,.233,-10.00,-0.42,,4,12,,7,6,,0,15,,2027,2248,,68.8,95.4,.348,.340,.516,46.9,43.9,9.0,6.9,.481,17.2,23.0,.242
38,Cal State Bakersfield,31,12,19,.387,-7.11,-3.26,,6,10,,9,7,,3,12,,2109,2097,,66.0,101.1,.312,.272,.509,54.7,46.2,9.3,10.2,.478,16.9,36.1,.214
39,Cal State Fullerton,31,11,20,.355,-6.79,-1.38,,6,10,,6,8,,4,11,,2127,2213,,69.5,96.8,.371,.338,.521,48.0,47.7,7.2,7.7,.488,16.6,22.8,.250
40,Cal State Northridge,32,15,17,.469,-6.37,-0.97,,10,6,,10,4,,5,12,,2435,2528,,71.4,106.6,.313,.339,.551,47.3,51.2,7.9,8.7,.519,14.1,25.7,.228
41,California Baptist,31,21,10,.677,-1.99,-6.66,,10,6,,15,5,,6,5,,2465,2170,,70.5,111.5,.345,.431,.567,54.8,53.9,5.8,8.5,.524,15.4,32.4,.271
42,UC-Davis,32,14,18,.438,-4.70,-2.63,,8,8,,8,4,,5,12,,2330,2286,,68.4,105.7,.315,.369,.573,48.3,50.1,8.4,5.3,.534,16.7,23.4,.248
43,UC-Irvine,32,21,11,.656,3.73,-2.18,,13,3,,11,2,,8,8,,2367,2087,,69.1,107.1,.283,.298,.555,56.7,53.5,9.3,9.9,.526,17.2,35.3,.209
44,UC-Riverside,32,17,15,.531,-3.63,-4.18,,7,9,,11,5,,6,10,,2059,1939,,64.4,99.5,.269,.423,.535,54.2,53.0,7.7,7.5,.510,17.9,27.6,.186
45,UC-Santa Barbara,31,21,10,.677,-0.57,-4.06,,10,6,,13,3,,8,7,,2195,2054,,64.9,108.6,.368,.350,.559,53.6,56.2,7.3,7.2,.517,15.7,32.2,.278
46,University of California,32,14,18,.438,3.20,9.05,,7,11,,12,5,,1,10,,2023,2210,,65.7,95.1,.360,.284,.514,49.6,41.5,6.1,7.4,.469,17.2,24.8,.266
47,Campbell,31,15,16,.484,-8.51,-8.10,,6,12,,8,5,,6,10,,2130,2065,,67.2,101.9,.258,.415,.558,47.6,59.2,10.7,8.3,.532,17.3,22.2,.189
48,Canisius,32,12,20,.375,-7.60,-5.44,,7,13,,7,6,,4,12,,2196,2265,,70.3,97.6,.302,.343,.516,48.9,56.1,10.1,7.1,.485,17.7,28.9,.210
49,Central Arkansas,31,10,21,.323,-11.26,-2.70,,9,11,,8,4,,2,16,,2316,2553,,75.9,96.1,.402,.404,.528,50.3,58.0,6.8,12.7,.485,20.0,28.4,.288
50,Central Connecticut State,31,4,27,.129,-20.33,-4.63,,3,15,,4,9,,0,16,,1959,2396,,70.7,89.3,.291,.316,.486,44.8,44.4,9.1,9.4,.454,17.9,23.3,.197
51,Central Florida,30,16,14,.533,5.13,4.13,,7,11,,10,6,,4,7,,2067,2037,,68.7,99.5,.309,.385,.526,49.3,54.7,9.4,8.0,.494,17.4,28.8,.219
52,Central Michigan,32,14,18,.438,-3.40,-0.26,,7,11,,12,4,,2,14,,2506,2454,,75.0,104.0,.334,.375,.531,48.8,42.4,12.1,6.8,.491,14.7,27.9,.249
53,Charleston Southern,32,14,18,.438,-13.14,-6.98,,7,11,,9,6,,5,11,,2203,2304,,68.6,99.2,.262,.428,.528,46.3,53.5,8.6,7.0,.496,16.2,22.8,.195
54,Charlotte,29,16,13,.552,0.46,-1.09,,10,8,,13,2,,3,11,,1922,1877,,66.6,98.2,.380,.368,.550,49.9,52.3,11.3,10.5,.516,18.7,21.4,.267
55,Chattanooga,33,20,13,.606,0.39,-1.90,,10,8,,10,4,,7,8,,2410,2261,,68.2,106.6,.289,.413,.556,51.7,52.5,7.0,4.1,.529,15.4,26.8,.206
56,Chicago State,29,4,25,.138,-28.20,-2.85,,0,14,,3,11,,1,12,,1781,2372,,70.3,87.4,.409,.351,.516,45.9,50.3,7.1,7.2,.468,22.9,22.6,.295
57,Cincinnati,30,20,10,.667,12.33,6.73,,13,5,,13,2,,5,6,,2182,2014,,68.9,102.2,.396,.361,.536,52.5,57.3,9.2,12.5,.503,17.5,32.0,.268
58,Citadel,30,6,24,.200,-13.82,-1.00,,0,18,,3,11,,3,12,,2244,2433,,75.6,97.7,.307,.469,.538,46.9,54.8,8.8,7.9,.510,17.9,22.8,.212
59,Clemson,31,16,15,.516,10.26,7.88,,9,11,,11,6,,3,8,,2062,1988,,66.6,98.7,.289,.464,.528,49.3,54.6,10.1,7.8,.501,16.5,23.3,.199
60,Cleveland State,32,11,21,.344,-11.16,-2.45,,7,11,,6,8,,3,13,,2053,2298,,68.9,92.4,.388,.230,.489,49.2,51.4,11.1,7.5,.450,18.8,32.0,.258
